mode,hour_of_day,thermal_fuel_usd_per_h,thermal_co2_tons_per_h,monetized_carbon_usd_per_h,social_cost_usd_per_h,sum_pg_thermal_mw,P_pv_dispatch_mw,P_wind_dispatch_mw,pv_curtailment_mw,wind_curtailment_mw
social_pi_nom,14,166438.90702481958,2334.8066417607038,198458.56454965982,364897.47157447936,4226.665350433462,0.0,15.334649566541117,0.0,1.0949463558063144e-11
social_pi_nom,15,166353.99210930738,2331.9032563413393,198211.77678901385,364565.7688983212,4223.0227712279875,0.0,18.97722877201424,0.0,1.0935252703347942e-11
social_pi_nom,16,166481.32253850382,2336.2561246170844,198581.77059245217,365063.093130956,4228.4838675605,0.0,13.516132439502105,0.0,1.0841105790859729e-11
social_pi_nom,17,166400.1890730058,2333.4830661998953,198346.0606269911,364746.2496999969,4225.004796246421,0.0,16.995203753577435,0.0,1.0977885267493548e-11
social_pi_nom,18,166279.44056799402,2329.352501875466,197994.9626594146,364274.40322740865,4219.822601828007,0.0,22.177398171997478,0.0,1.0722089882619912e-11
social_pi_nom,19,166436.38448382952,2334.720421655919,198451.2358407531,364887.6203245826,4226.557178931776,0.0,15.442821068222978,0.0,1.0954792628581345e-11
social_pi_nom,20,165928.60692924197,2317.327289470638,196972.81960500422,362901.4265342462,4204.735804067006,0.0,37.26419593299713,0.0,8.405720564041985e-12
social_pi_nom,21,164949.2748380291,2283.569105561581,194103.3739727344,359052.6488107635,4162.382881185277,0.0,79.61711881472743,0.0,3.5285552257846575e-11
social_pi_nom,22,164780.79691660943,2277.7329252083186,193607.2986427071,358388.0955593165,4155.060825683143,0.0,86.93917431685826,0.0,2.8563817977556027e-11
social_pi_nom,23,164768.80365944566,2277.3171475069844,193571.95753809367,358340.76119753934,4154.539192146463,0.5216335081094365,86.93917434542733,2.5707325157497962e-11,2.5707436179800425e-11
